Date;Mnemo;Nom_court;Cours_rfrnc
03/03/2023;SEMC;SEMC;47000
03/03/2023;SAF;SAFACAM;24500
03/03/2023;SOCAP;SOCAPALM;49600
03/03/2023;REG;LAREGIONALE;42500
03/03/2023;BANGE;BANGE;206800
03/03/2023;SCGRE;SCG-Re;21000
08/03/2023;SEMC;SEMC;47000
08/03/2023;SAF;SAFACAM;24500
08/03/2023;SOCAP;SOCAPALM;49600
08/03/2023;REG;LAREGIONALE;42500
08/03/2023;BANGE;BANGE;206800
08/03/2023;SCGRE;SCG-Re;21000
15/03/2023;SEMC;SEMC;47000
15/03/2023;SAF;SAFACAM;24501
15/03/2023;SOCAP;SOCAPALM;49700
15/03/2023;REG;LAREGIONALE;42500
15/03/2023;BANGE;BANGE;206800
15/03/2023;SCGRE;SCG-Re;21000
13/03/2023;SEMC;SEMC;47000
13/03/2023;SAF;SAFACAM;24501
13/03/2023;SOCAP;SOCAPALM;49700
13/03/2023;REG;LAREGIONALE;42500
13/03/2023;BANGE;BANGE;206800
13/03/2023;SCGRE;SCG-Re;21000
10/03/2023;SEMC;SEMC;47000
10/03/2023;SAF;SAFACAM;24500
10/03/2023;SOCAP;SOCAPALM;49600
10/03/2023;REG;LAREGIONALE;42500
10/03/2023;BANGE;BANGE;206800
10/03/2023;SCGRE;SCG-Re;21000
17/03/2023;SEMC;SEMC;47000
17/03/2023;SAF;SAFACAM;24501
17/03/2023;SOCAP;SOCAPALM;49700
17/03/2023;REG;LAREGIONALE;42500
17/03/2023;BANGE;BANGE;206800
17/03/2023;SCGRE;SCG-Re;21000
22/03/2023;SEMC;SEMC;47000
22/03/2023;SAF;SAFACAM;24501
22/03/2023;SOCAP;SOCAPALM;49700
22/03/2023;REG;LAREGIONALE;42500
22/03/2023;BANGE;BANGE;206800
22/03/2023;SCGRE;SCG-Re;21000
20/03/2023;SEMC;SEMC;47000
20/03/2023;SAF;SAFACAM;24501
20/03/2023;SOCAP;SOCAPALM;49700
20/03/2023;REG;LAREGIONALE;42500
20/03/2023;BANGE;BANGE;206800
20/03/2023;SCGRE;SCG-Re;21000
24/03/2023;SEMC;SEMC;47000
24/03/2023;SAF;SAFACAM;24501
24/03/2023;SOCAP;SOCAPALM;49700
24/03/2023;REG;LAREGIONALE;42500
24/03/2023;BANGE;BANGE;206800
24/03/2023;SCGRE;SCG-Re;21000
27/03/2023;SEMC;SEMC;47000
27/03/2023;SAF;SAFACAM;24510
27/03/2023;SOCAP;SOCAPALM;50000
27/03/2023;REG;LAREGIONALE;42500
27/03/2023;BANGE;BANGE;206800
27/03/2023;SCGRE;SCG-Re;21000
29/03/2023;SEMC;SEMC;47000
29/03/2023;SAF;SAFACAM;24510
29/03/2023;SOCAP;SOCAPALM;50000
29/03/2023;REG;LAREGIONALE;42500
29/03/2023;BANGE;BANGE;206800
29/03/2023;SCGRE;SCG-Re;21000
31/03/2023;SEMC;SEMC;47000
31/03/2023;SAF;SAFACAM;24510
31/03/2023;SOCAP;SOCAPALM;54000
31/03/2023;REG;LAREGIONALE;42500
31/03/2023;BANGE;BANGE;206800
31/03/2023;SCGRE;SCG-Re;21000
31/03/2023;SAF;SAFACAM;24510
31/03/2023;SOCAP;SOCAPALM;50000
31/03/2023;REG;LAREGIONALE;42500
31/03/2023;SCGRE;SCG-Re;21000
10/04/2023;SEMC;SEMC;47000
10/04/2023;SAF;SAFACAM;24510
10/04/2023;SOCAP;SOCAPALM;50000
10/04/2023;REG;LAREGIONALE;42500
10/04/2023;BANGE;BANGE;206850
10/04/2023;SCGRE;SCG-Re;21000
12/04/2023;SEMC;SEMC;47000
12/04/2023;SAF;SAFACAM;24510
12/04/2023;SOCAP;SOCAPALM;50000
12/04/2023;REG;LAREGIONALE;42500
12/04/2023;BANGE;BANGE;206850
12/04/2023;SCGRE;SCG-Re;21000
17/04/2023;SAF;SAFACAM;24700
17/04/2023;SOCAP;SOCAPALM;50000
17/04/2023;REG;LAREGIONALE;42500
17/04/2023;SCGRE;SCG-Re;21000
24/04/2023;SAF;SAFACAM;24700
24/04/2023;SOCAP;SOCAPALM;50000
24/04/2023;REG;LAREGIONALE;42500
24/04/2023;SCGRE;SCG-Re;21000
08/05/2023;SAF;SAFACAM;24950
08/05/2023;SOCAP;SOCAPALM;50000
08/05/2023;REG;LAREGIONALE;42500
08/05/2023;SCGRE;SCG-Re;21000
10/05/2023;SAF;SAFACAM;25000
10/05/2023;SOCAP;SOCAPALM;50000
10/05/2023;REG;LAREGIONALE;42500
10/05/2023;SCGRE;SCG-Re;21000
15/05/2023;SAF;SAFACAM;25100
15/05/2023;SOCAP;SOCAPALM;51000
15/05/2023;REG;LAREGIONALE;42500
15/05/2023;SCGRE;SCG-Re;21000
17/05/2023;SAF;SAFACAM;25100
17/05/2023;SOCAP;SOCAPALM;51000
17/05/2023;REG;LAREGIONALE;42500
17/05/2023;SCGRE;SCG-Re;21000
22/05/2023;SAF;SAFACAM;25100
22/05/2023;SOCAP;SOCAPALM;51000
22/05/2023;REG;LAREGIONALE;42500
22/05/2023;SCGRE;SCG-Re;21000
31/05/2023;SAF;SAFACAM;25100
31/05/2023;SOCAP;SOCAPALM;48000
31/05/2023;REG;LAREGIONALE;42500
31/05/2023;SCGRE;SCG-Re;21000
07/06/2023;SAF;SAFACAM;25100
07/06/2023;SOCAP;SOCAPALM;48000
07/06/2023;REG;LAREGIONALE;42500
07/06/2023;SCGRE;SCG-Re;21000
12/06/2023;SAF;SAFACAM;25100
12/06/2023;SOCAP;SOCAPALM;48000
12/06/2023;REG;LAREGIONALE;42500
12/06/2023;SCGRE;SCG-Re;21000
14/06/2023;SAF;SAFACAM;25100
14/06/2023;SOCAP;SOCAPALM;48000
14/06/2023;REG;LAREGIONALE;42500
14/06/2023;SCGRE;SCG-Re;21000
16/06/2023;SAF;SAFACAM;25100
16/06/2023;SOCAP;SOCAPALM;48000
16/06/2023;REG;LAREGIONALE;42500
16/06/2023;SCGRE;SCG-Re;21000
19/06/2023;SAF;SAFACAM;25100
19/06/2023;SOCAP;SOCAPALM;48000
19/06/2023;REG;LAREGIONALE;42500
19/06/2023;SCGRE;SCG-Re;21000
21/06/2023;SAF;SAFACAM;25100
21/06/2023;SOCAP;SOCAPALM;48000
21/06/2023;REG;LAREGIONALE;42500
21/06/2023;SCGRE;SCG-Re;21000
03/07/2023;SAF;SAFACAM;25100
03/07/2023;SOCAP;SOCAPALM;48000
03/07/2023;REG;LAREGIONALE;42500
03/07/2023;SCGRE;SCG-Re;21000
05/07/2023;SEMC;SEMC;47000
05/07/2023;SAF;SAFACAM;25100
05/07/2023;SOCAP;SOCAPALM;48000
05/07/2023;REG;LAREGIONALE;42500
05/07/2023;BANGE;BANGE;206850
05/07/2023;SCGRE;SCG-Re;21000
05/07/2023;SAF;SAFACAM;25100
05/07/2023;SOCAP;SOCAPALM;48000
